The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
大安區,房地(土地+建物),臺北市大安區師大路５９巷１１號二樓,24.8,商,,,1081016,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,761104,94.94,3,2,2,有,無,18800000,198020,,0,0,,RPROMLTKJIOFFFA58CA,73.78,1.46,8.28,,
大安區,房地(土地+建物),臺北市大安區建國南路一段175巷21號11樓,19.58,住,,,1081012,土地2建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,760423,107.72,3,2,2,有,有,23580000,218901,,0,0,含增建或未登記建物。；,RPRNMLNKJIOFFFA87CA,68.05,0,10.54,,
大安區,房地(土地+建物),臺北市大安區基隆路二段２０６號１０樓,28.87,商,,,1080920,土地2建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,770930,94.15,2,2,1,有,有,22000000,233670,,0,0,,RPXNMLLKKIOFFFA38CA,69.02,0,10.35,,
北投區,房地(土地+建物),臺北市北投區公?路６３巷１５號二樓,41,住,,,1080916,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660623,108.83,4,2,1,有,無,9500000,87292,,0,0,親友、員工或其他特殊關係間之交易。；,RPVOMLKKKIOFFEA08CA,97.53,0,11.3,,
士林區,房地(土地+建物),臺北市士林區延平北路八段８０巷５３弄７號,26,其他,,,1081009,土地1建物1車位0,一層，騎樓,三層,公寓(5樓含以下無電梯),住家用,加強磚造,590123,77,0,0,0,無,無,6700000,87013,,0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLQLJIOFFEA78CA,77,0,0,,
士林區,房地(土地+建物),臺北市士林區中山北路七段35巷1號3樓,26.88,商,,,1081010,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,730427,125.45,3,2,2,有,有,20300000,161817,,0,0,含增建或未登記建物。；,RPOOMLNKJIOFFEA57CA,97.47,0,13.83,,
北投區,房地(土地+建物),臺北市北投區中央南路一段１３０巷１６號,49,住,,,1080924,土地1建物1車位0,全,,透天厝,住家用,磚造,461010,39,0,0,0,無,無,7330000,187949,,0,0,無人繼承案件，委由國產署標售。,RPQOMLTKJIOFFEA38CA,39,0,0,,
士林區,房地(土地+建物),臺北市士林區中山北路五段７３５號四樓,25.19,住,,,1080916,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720907,101.9,4,2,2,有,無,13500000,132483,,0,0,親友、員工或其他特殊關係間之交易。；,RPVOMLKLJIOFFEA08CA,77.59,0,16.88,,
士林區,房地(土地+建物),臺北市士林區社子街84巷6號4樓,25.75,住,,,1081011,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650331,78.67,3,2,1,有,無,8500000,108046,,0,0,含增建或未登記建物。；,RPQPMLMKJIOFFEA77CA,78.67,0,0,,
松山區,房地(土地+建物),臺北市松山區塔悠路１５號二樓,4.03,商,,,1081015,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,690922,95.52,2,2,2,有,無,2010000,21043,,0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLPLJIOFFDA77CA,92.71,0,2.81,,
