target,addr,date,target_number,floor,total_floor,building_state,house_age,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,cart_price
房地(土地+建物),豐年路二段61~90號,1100418,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),43,97.56,4,1,2,無,12030000,123309,0
房地(土地+建物),木柵路二段109巷100弄31~60號,1100418,土地2建物1車位0,五層,十七層,住宅大樓(11層含以上有電梯),25,99.98,3,2,2,有,13280000,132827,0
房地(土地+建物),南京東路四段133巷9弄1~30號,1100418,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),13,47.48,1,0,1,有,11950000,251685,0
房地(土地+建物),八德路三段181~210號,1100418,土地3建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),15,30.55,1,1,1,有,11680000,382324,0
房地(土地+建物)+車位,園區街1~30號,1100418,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),10,168.37,3,2,2,有,37500000,222724,0
房地(土地+建物)+車位,景文街1~30號,1100418,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),16,86.14,1,1,1,有,13500000,156722,0
房地(土地+建物),民權東路六段180巷42弄1~30號,1100417,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),13,100.95,2,2,1,有,23000000,227836,0
房地(土地+建物),貴陽街二段31~60號,1100417,土地1建物1車位0,五層,十九層,住宅大樓(11層含以上有電梯),3,37.92,1,1,1,有,8000000,210970,0
房地(土地+建物)+車位,民權東路六段123巷20弄1~30號,1100417,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),15,113.44,2,2,2,有,18800000,165726,0
房地(土地+建物)+車位,康寧路三段189巷1~30號,1100417,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),11,157.85,3,2,2,有,29800000,190011,1800000
房地(土地+建物)+車位,萬壽路61~90號,1100416,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),13,52.76,1,1,1,有,6330000,119977,800000
房地(土地+建物),濟南路二段1~30號,1100415,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),44,115.57,3,2,2,無,30700000,265640,0
房地(土地+建物),開封街二段31~60號,1100415,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),23,67.15,1,1,1,有,13000000,193596,0
房地(土地+建物)+車位,貴陽街二段31~60號,1100414,土地1建物1車位1,三層,十九層,住宅大樓(11層含以上有電梯),3,208.71,4,2,3,有,39206000,187849,0
房地(土地+建物),林森北路391~420號,1100413,土地3建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),37,88.13,2,2,1,有,10300000,116873,0
房地(土地+建物),信義路二段91~120號,1100413,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),39,66.7,2,2,1,有,19000000,284858,0
房地(土地+建物),福德街451~480號,1100413,土地1建物1車位0,十二層,十八層,住宅大樓(11層含以上有電梯),23,151.4,3,2,2,有,21500000,142008,0
房地(土地+建物)+車位,長沙街二段31~60號,1100413,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),19,182.47,4,1,2,有,32680000,188040,1800000
房地(土地+建物)+車位,民權東路六段280巷1~30號,1100413,土地3建物1車位3,五層,十三層,住宅大樓(11層含以上有電梯),6,392.33,3,2,3,有,63380000,161548,0
房地(土地+建物),復興南路二段151巷31~60號,1100412,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),53,131.61,3,2,1,無,40280000,306056,0
房地(土地+建物),新生北路二段101巷1~30號,1100412,土地1建物2車位0,三層,三層,公寓(5樓含以下無電梯),51,46.08,1,0,1,無,9700000,210503,0
房地(土地+建物),忠孝東路三段248巷1~30號,1100412,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),39,113.46,3,2,1,有,27800000,245020,0
房地(土地+建物)+車位,中山北路二段151~180號,1100412,土地1建物1車位2,十一層,十六層,住宅大樓(11層含以上有電梯),6,321.72,3,2,3,有,78000000,278810,6000000
房地(土地+建物),新生北路三段1~30號,1100411,土地3建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),15,38.69,0,0,0,有,10330000,266994,0
房地(土地+建物),南京東路六段181~210號,1100411,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),39,86.57,3,0,3,無,12500000,144392,0
房地(土地+建物),知行路181~210號,1100410,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),32,93.84,2,2,2,無,9350000,99638,0
房地(土地+建物),永吉路517巷1弄1~30號,1100410,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),51,89.16,7,4,2,無,16360000,183490,0
