district,target,addr,date,target_number,floor,total_floor,building_state,main_use,complete_years,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,parking_type,parking_size,parking_price
士林區,房地(土地+建物),臺北市士林區美德街104號5樓,1090502,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,711124,95.8,2,1,2,無,13800000,144050,,0,0
內湖區,房地(土地+建物),臺北市內湖區瑞光路７６巷４６號五樓,1090512,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,861030,129.14,4,2,2,有,18300000,141707,,0,0
萬華區,房地(土地+建物),臺北市萬華區長沙街二段115號5樓,1090426,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,671013,134.63,4,2,3,無,17000000,126272,,0,0
萬華區,房地(土地+建物),臺北市萬華區東園街２８巷６號五樓,1090312,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,711214,102.34,3,2,2,無,10700000,104553,,0,0
中山區,房地(土地+建物),臺北市中山區中山北路二段６５巷２弄１３號５樓之１,1090429,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,990902,50.2,2,2,1,有,10630000,211753,,0,0
中山區,房地(土地+建物),臺北市中山區松江路１６４巷６３號５樓之２,1090430,土地2建物1車位0,五層,七層,套房(1房1廳1衛),住家用,1040312,53.8,1,1,1,有,14450000,268587,,0,0
北投區,房地(土地+建物),臺北市北投區行義路５８巷１９之２號５樓,1090427,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,721201,104.95,3,2,2,無,11700000,111482,,0,0
士林區,房地(土地+建物),臺北市士林區承德路四段４０巷２６號六樓之４,1090426,土地1建物1車位0,五層,五層,其他,住家用,591008,28.53,3,2,2,有,3000000,105152,,0,0
士林區,房地(土地+建物),臺北市士林區承德路四段４０巷２６號六樓之４,1090426,土地1建物1車位0,五層,五層,其他,住家用,591008,14.27,3,2,2,有,1500000,105116,,0,0
大安區,房地(土地+建物),臺北市大安區復興南路一段107巷33之1號5樓,1090420,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,730216,139.69,3,2,2,有,33660000,240962,,0,0
信義區,房地(土地+建物),臺北市信義區崇德街８８號五樓,1090503,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,770924,76.39,2,1,1,有,13760000,180128,,0,0
內湖區,房地(土地+建物),臺北市內湖區成功路四段２２３巷１５弄９號五樓,1090429,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,720323,124.57,3,2,2,無,16200000,130047,,0,0
中山區,房地(土地+建物),臺北市中山區松江路４３１巷１３號五樓,1090518,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,661108,92.86,3,2,1,無,15800000,170149,,0,0
中正區,房地(土地+建物),臺北市中正區和平西路一段５９號五樓之１０,1090508,土地2建物1車位0,五層,十四層,套房(1房1廳1衛),住家用,970513,40.53,1,1,1,有,11300000,278806,,0,0
文山區,房地(土地+建物),臺北市文山區羅斯福路六段159巷5弄20號5樓,1090510,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,800710,53.03,2,1,1,有,8900000,167830,,0,0
內湖區,房地(土地+建物),臺北市內湖區內湖路一段27號五樓,1090411,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,690126,98.28,3,1,1,無,14000000,142450,,0,0
松山區,房地(土地+建物),臺北市松山區民權東路五段１２號五樓,1090504,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,711222,181.05,3,2,2,有,33330000,184093,,0,0
松山區,房地(土地+建物),臺北市松山區民生東路四段75巷5弄5號5樓之2,1090227,土地1建物1車位0,五層,八層,套房(1房1廳1衛),住家用,970624,39.6,1,1,1,有,11480000,289899,,0,0
松山區,房地(土地+建物),臺北市松山區南京東路三段303巷14弄8號5樓,1090429,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,750321,64.63,2,1,1,有,12700000,196503,,0,0
士林區,房地(土地+建物),臺北市士林區至善路二段７之２號五樓,1090415,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,820507,203.91,3,2,2,有,33200000,162817,,0,0
大安區,房地(土地+建物),臺北市大安區和平東路三段１巷７２弄６號５樓,1090517,土地1建物1車位0,五層,十七層,住宅大樓(11層含以上有電梯),住家用,740522,100.98,3,2,1,有,21800000,215906,,0,0
大安區,房地(土地+建物),臺北市大安區富陽街１６０巷１４號５樓,1090509,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,741230,107.74,5,3,3,無,16500000,153146,,0,0
內湖區,房地(土地+建物),臺北市內湖區東湖路１１３巷９５弄６０號５樓,1090507,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,740215,88.63,2,1,3,無,7000000,78980,,0,0
中山區,房地(土地+建物),臺北市中山區中山北路二段３６巷３４號５樓,1090419,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,650128,92.95,3,0,3,無,21320000,229371,,0,0
北投區,房地(土地+建物),臺北市北投區溫泉路71號5樓之8,1090425,土地1建物1車位0,五層,七層,套房(1房1廳1衛),住家用,700218,46.03,1,1,1,有,4500000,97762,,0,0
北投區,房地(土地+建物),臺北市北投區中山路28之18號五樓,1090516,土地1建物1車位0,五層,八層,套房(1房1廳1衛),住家用,701231,35.79,1,1,1,有,3550000,99190,,0,0
南港區,房地(土地+建物),臺北市南港區研究院路二段220號5樓,1090503,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,,102,3,2,2,無,8900000,87255,,0,0
士林區,房地(土地+建物),臺北市士林區基河路128號5樓之15,1090515,土地1建物1車位0,五層,十一層,套房(1房1廳1衛),住家用,850916,26.91,1,1,1,有,5250000,195095,,0,0
文山區,房地(土地+建物),臺北市文山區興隆路三段207巷10弄15號五樓,1090430,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,730830,141.41,3,2,2,有,10360000,73262,,0,0
萬華區,房地(土地+建物),臺北市萬華區環河南路二段59號五樓之1,1080111,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,1090210,57.8,0,0,0,有,8730000,151038,,0,0
大安區,房地(土地+建物),臺北市大安區溫州街68巷3號五樓,1090415,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,720505,112.75,4,1,1,無,18510000,164169,,0,0
中山區,房地(土地+建物),臺北市中山區松江路３６２巷５３號５樓,1090502,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,720725,150.56,4,2,2,無,26500000,176010,,0,0
大安區,房地(土地+建物),臺北市大安區新生南路一段１５１巷１５號５樓,1090422,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,,112.27,5,3,3,無,27880000,248330,,0,0
松山區,房地(土地+建物),臺北市松山區敦化北路３０３號五樓之９,1090521,土地3建物1車位0,五層,十二層,套房(1房1廳1衛),住家用,651022,28.1,1,1,1,有,7500000,266904,,0,0
內湖區,房地(土地+建物),臺北市內湖區內湖路三段１６３巷８弄１６號五樓,1090416,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,661219,52.18,2,1,1,無,5800000,111154,,0,0
萬華區,房地(土地+建物),臺北市萬華區環河南路二段59號五樓,1071123,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,1090210,78.58,2,2,1,有,12500000,159074,,0,0
萬華區,房地(土地+建物),臺北市萬華區環河南路二段61號五樓,1080627,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,1090210,93.61,2,2,1,有,13600000,145284,,0,0
士林區,房地(土地+建物),臺北市士林區大南路419號5樓,1090516,土地2建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,790728,114.15,3,2,2,有,16200000,141919,,0,0
北投區,房地(土地+建物),臺北市北投區知行路８５號五樓,1090521,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,701231,105.85,4,0,4,無,9000000,85026,,0,0
信義區,房地(土地+建物),臺北市信義區嘉興街３０３號５樓之１,1090505,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,810703,66.1,2,2,1,有,14600000,220877,,0,0
大安區,房地(土地+建物),臺北市大安區敦化南路一段２９５巷４４號５樓,1090430,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,661221,130.05,3,2,2,無,35000000,269127,,0,0
中正區,房地(土地+建物),臺北市中正區汀州路三段２７巷６號５樓,1090226,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,741122,118.55,3,2,2,有,23600000,199055,,0,0
士林區,房地(土地+建物),臺北市士林區中山北路七段14巷5弄8號5樓,1090428,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,670109,147.6,4,2,2,無,18000000,121951,,0,0
北投區,房地(土地+建物),臺北市北投區同德街44巷1號五樓,1090608,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,731022,0.97,3,2,2,無,82000,0,,0,0
松山區,房地(土地+建物),臺北市松山區民權東路五段８６號五樓,1090416,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,670705,137.96,4,2,2,無,17970000,130255,,0,0
松山區,房地(土地+建物),臺北市松山區南京東路四段１７１號五樓,1090601,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,,74.58,2,1,1,有,17200000,230625,,0,0
內湖區,房地(土地+建物),臺北市內湖區內湖路一段387巷2弄7號5樓,1090502,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,701221,104.65,3,2,2,無,13000000,124224,,0,0
萬華區,房地(土地+建物),臺北市萬華區長沙街二段１７４號五樓,1090505,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,651103,137.25,0,0,0,無,13000000,94718,,0,0
中山區,房地(土地+建物),臺北市中山區新生北路二段72巷17號5樓之1,1090413,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,650903,29.32,0,0,0,有,4000000,136426,,0,0
